All,Всички
"24 Hours","24 часа"
critical,критично
major,важно
minor,незначителни
notice,известие
"Wrong message type","Грешен тип съобщение"
"Wrong notification ID specified.","Зададено е грешно ID на съобщение."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не е препоръчителен за използване в продукционна среда, за да се декларира Основния не-сигурен URL. Силно Ви препоръчваме да промените стойността във Вашата Magento <a href=""%1"">конфигурация</a>."
"One or more of the Cache Types are invalidated: %1. ","Един или няколко вида кеш бяха анулирани: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Моля, отидете на <a href=""%1"">Управление на кеширането</a> и опреснете всички видове кеш."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Ние не успяхме да синхронизираме един или повече медийни файлове. Моля, вижте лог файловете за повече информация."
"Synchronization of media storages has been completed.","Синхронизацията на медийните хранилища приключи."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Вашият уеб сървър е настроен неправилно и позволява неразрешен достъп до чувствителни файлове. Моля, обърнете се към вашия хостинг доставчик."
"System Messages:","Системни съобщения:"
"Critical System Messages","Критични системни съобщения"
"Major System Messages","Основни системни съобщения"
"System messages","Системни съобщения"
Close,Затвори
"See All (","Виж всички ("
" unread)"," непрочетени)"
"Show Toolbar","Покажи лента с инструменти"
"Show List","Покажи списък"
"Use HTTPS to Get Feed","Използвайте HTTPS, за да получите емисия"
"Update Frequency","Честота на обновяване"
"Last Update","Последна актуализация"
Severity,Тежест
"Date Added","Дата на добавяне"
Message,Съобщение
Actions,Действия
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Прегледахте и разрешихте всички последни системни съобщения. Моля, опреснете уеб страницата, за да изчистите предупреждението."
"Manage Shopping Cart","Управление на количка"
"Create Order","Създай поръчка"
Back,Обратно
"Add Products","Добавяне на продукти"
"Update Items and Quantities","Обнови артикули и количества"
"Are you sure you want to clear your cart?","Сигурни ли сте, че искате да изчистите вашата количка?"
"Clear my shopping cart","Изчисти моята количка"
"Add selections to my cart","Добави избраните към моята количка"
Cancel,Отказ
"Shopping Cart for %1 in %2","Количка за %1 в %2"
"Select products you want to buy","Изберете продуктите, които искате за купите"
Product,Продукт
Price,Цена
Quantity,"Количество: "
"Products in the Comparison List (%1)","Продукти в списъка за сравнение (%1)"
"Last ordered items (%1)","Последно поръчани артикули (%1)"
Products,Продукти
ID,ИД
SKU,"Кат. номер"
"Recently Compared Products (%1)","Последно сравнени продукти (%1)"
"Recently Viewed Products (%1)","Последно видени продукти (%1)"
"Add to Shopping Cart by SKU","Добави в количката по кат. номер"
"Add to Shopping Cart","Добави в количката"
"Wish List (%1)","Списък Желания (%1)"
Apply,Приложи
Configure,"Конфигуриране на"
"Add to Order by SKU","Добави към поръчката по каталожен номер"
"Add to Order","Добави към поръчка"
"Add Products to Order","Добави продукти към поръчката"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> продукт(а) изисква(т) внимание.</span>"
"Remove All","Премахни всички"
"Only %1%2%3 left in stock","Само %1%2%3 са в наличност"
"You can buy up to %1 of these per purchase.","Може да купите до %1 от този продукт в една поръчка."
"You must buy at least %1 of these per purchase.","Трябва да купите поне %1 от този продукт в поръчка."
"Specify the product's options.","Задайте опциите на продукта."
"Alert me when this item is available.","Уведоми ме, когато този продукт е наличен."
"Shopping cart management is disabled for this customer.","Управлението на количката не е разрешено за този клиент."
Customers,Клиенти
"Shopping Cart",Количка
"You do not have access to this.","Вие нямате достъп до това."
"An error has occurred. See error log for details.","Възникна грешка. Вижте лога с грешки за подробности."
"You cannot configure a product.","Не можете да конфигурирате този продукт."
"You removed the items.","Вие премахнахте тези артикули."
"You removed the item.","Вие премахнахте артикулът."
"You added %1 to your shopping cart.","Добавихте %1 към вашата количка."
"You cannot add a product.","Не можете да добавяте продукт."
"Order by SKU","Подреди по кат.номер"
"The SKU was not found in the catalog.","Този кат. номер не бе открит в каталога."
"Availability: Out of stock.","Наличност: Няма налично."
"We don't have as many of these as you want.","Нямаме толкова колкото искате."
"You can't add this many to your cart.","Не можете да добавите толкова много към количката си."
"You need to choose options for your item.","Трябва да изберете опции за продукта."
"We can't add the item to your cart.","Не можем да добавим елемента към Вашата количка."
"Please enter an actual number in the ""Qty"" field.","Моля, въведете реалното число в полето ""Количество""."
"This product is assigned to another website.","Този продукт е присвоен на друг сайт."
"You can add only enabled products.","Можете да добавяте само активирани продукти."
"You cannot upload this file.","Не можете да качите този файл."
"The file is empty.","Файлът е празен."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Не сте въвели продукт. Моля, <a href=""%1""> Щракнете тук</a>, за да добавите продукт(и) по кат. номер."
"You have not entered a product SKU.","Не сте въвели кат. номер на продукта."
"We can't add a product to cart by id ""%1"".","Ние не може да добавите продукт в кошницата по ID ""%1""."
"Something went wrong while reordering this product.","Нещо се обърка, при повторно поръчване на този продукт."
"We can't find this wish list.","Не можем да намерим този списък с желани продукти"
"You added %1 product to your shopping cart.","Добавихте %1 продукт към количката си."
"You added %1 products to your shopping cart.","Добавихте %1 продукта към количка си."
"%1 product requires your attention.","%1 продукт изисква Вашето внимание."
"%1 products require your attention.","%1 продукта изискват Вашето внимание."
"Yes, for Specified Customer Groups","Да, за определени клиентски групи"
"Yes, for Everyone","Да, за всеки"
No,Не
"Please upload the file in .csv format.","Моля, качете файла в .csv формат."
"%1 item(s) need your attention.","%1 елемент(и) се нуждаят от Вашето внимание."
"Apply Coupon Code","Приложи купон"
"Remove Coupon Code","Премахни купон"
"The coupon code ""%1"" is not valid.","Този код ""%1"" не е валиден."
"Shopping Cart Items","Продукти в количката"
Qty,Кол-во
Subtotal,Сума
Discount,Отстъпка
"Row Subtotal","Междинна сума за ред"
Action,Действие
"No ordered items","Няма поръчани артикули"
"Total %1 product(s)","Общо %1 продукт(а)"
Subtotal:,"Междинна сума:"
"Please select","Моля изберете"
"Move to Wish List","Премести в списък с желания"
"No item specified.","Няма зададен елемент."
"Are you sure you want to remove this item?","Сигурни ли сте, че искате да изтриете артикула?"
"SKU number","Кат. номер"
"Upload File","Качи файл"
"Your csv file must include ""sku"" and ""qty"" columns.","Вашият csv файл трябва да съдържа колоните ""sku"" и ""qty""."
Reset,Изчисти
"SKU: ","Кат. номер: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <span id=""%1_max_allowed"">%2</span> в наличност"
Item,Артикул
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"What's this?","Какво е това?"
"Incl. Tax","Вкл. Ддс"
"Excl. Tax","Без вкл. ДДС"
"Edit item parameters","Промени параметрите на артикула"
Edit,Редактирай
"Remove item",Премахни
"Products Requiring Attention","Продукти, които изискват внимание"
"Add to Cart","Добави в количка"
Sku,"Каталожен номер"
File,Файл
"File extensions allowed: .csv","Разрешени разширения на файл: .csv"
"Add Row","Добави ред"
"Remove Row","Премахни ред"
"Add Products By SKU","Добавяне на продукти по кат. номер"
"Shopping Cart Management","Управление на количка"
"View Shopping Cart","Покажи количката"
"View and modify Shopping Cart","Разглеждане и модифициране на количката"
"Order by SKU Settings","Настройки на поръчка по кат. номер"
"Enable Order by SKU on My Account in Storefront","Разрешете поръчки по кат. номер за моята сметка в магазина"
"Customer Groups","Клиентски групи"
"Apply Coupon","Приложи купон"
"Order by SKU Description","Описание на поръчка по кат. номер"
"Display a Link to Loading a Spreadsheet","Показване на препратка към зареждане на електронна таблица"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Определя дали връзка към Моят профил &gt; страницата за поръчка по кат. номер ще се появи в уиджета"
"Link Text","Текст на връзката"
"The text of the link to the My Account &gt; Order by SKU page","Текстът на връзката към Моят профил &gt; страницата за поръчка по кат. номер"
"Load a list of SKUs","Зареди списък с кат. номера"
"Order by SKU Template","Шаблон за поръчка по кат. номер"
"This customer couldn't be found. Verify the customer and try again.","Този клиент не може да бъде намерен. Проверете клиента и опитайте отново."
"This store couldn't be found. Verify the store and try again.","Този магазин не може да бъде намерен. Проверете магазина и опитайте отново."
"An error occurred. For details, see the error log.","Възникна грешка. За подробности вижте регистъра на грешки."
"Orders can only be completed in an active store. Verify the store and try again.","Поръчки могат да се завършват само в активен магазин. Проверете магазина и опитайте отново."
"The ordered item needs to be loaded. Load the item and try again.","Поръчаният артикул трябва да бъде зареден. Заредeте артикула и опитайте отново."
"The quote item ID needs to be received. Set the ID and try again.","Цитираният артикул с ИД трябва да бъде получен. Задайте ИД и опитайте отново."
"The quote item needs to be loaded. Load the item and try again.","Цитираният артикул трябва да бъде зареден. Заредeте артикула и опитайте отново."
"The wish list item ID needs to be received. Set the ID and try again.","ИД на елемент от списъка с желани трябва да бъде получен. Задайте ИД и опитайте отново."
"The wish list item needs to be loaded. Load the item and try again.","Елемента от списъка с желани трябва да бъде зареден. Заредете елемента и опитайте отново."
"The file is corrupt and can't be used.","Файлът е повреден и не може да бъде използван."
"Please correct the data sent.","Моля коригирайте изпратените данни."
"Entity type model '%1' is not found","Не е намерен обект тип модел ""%1"""
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Типовият модел трябва да бъде инстанция на \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Няма продуктови типове за експорт"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 клас не имплементира \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Правило за продажби"
"Index sales rule","Индекс на правило за продажби"
"Related Search Terms","Сродни термини за търсене"
"Add New Search Term","Добави нов термин за търсене"
button_label,етикет_на_бутона
"Missing search engine parameter.","Липсващ параметър на търсещата машина."
"Successful! Test again?","Успешно! Тествай отново?"
"Connection failed! Test again?","Неуспешна връзка! Пробвай отново?"
"Enable Search Recommendations","Разреши препоръките при търсене"
"When you enable this option your site may slow down.","Когато активирате тази опция, Вашият сайт може да се забави."
"Search Recommendations Count","Брой на препоръките при търсене"
"Show Results Count for Each Recommendation","Показване на броя на резултатите за всяка препоръка"
"Enable Search Suggestions","Разрешаване на предложения за търсене"
"Search Suggestions Count","Брой на предложенията при търсене"
"Show Results Count for Each Suggestion","Показване на броя на резултатите за всяка препоръка"
"Related search terms","Подобни търсения"
"Did you mean","Може би имахте предвид"
"Search Query","Заявка за търсене"
Store,Магазин
Results,Резултати
Uses,Ползвания
"Redirect URL","URL адрес за пренасочване"
"Suggested Term","Предложен термин"
Yes,Да
"RPC call failed, connection timed out after %time_out.","RPC повикване е неуспешно, връзката изтече след %time_out."
"Message has been rejected: %1","Съобщението беше отхвърлено: %1"
"Error while checking if topic is synchronous","Грешка при проверка, ако темата е синхронна"
"Subscription status","Статут на абонамента"
"Sorry, there has been an error processing your request. Please try again later.","За съжаление, възникна грешка при обработката на заявката Ви. Моля, опитайте отново по-късно."
"Cron settings can't be saved","Cron настройките не могат да бъдат записани"
"There was an error save new configuration value.","Възникна грешка при записване нова конфигурационна стойност."
"--Please Select--","--Моля, изберете--"
"These arguments can't be empty ""%1""","Тези аргументи не могат да бъдат празни ""%1"""
"Cannot find predefined integration user!","Не може да намери предефиниран потребител за интеграция!"
"File is not ready yet.","Файлът все още не е готов."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Вашият основен URL адрес е променен и вашите отчети се актуализират. Разширеното отчитане ще бъде на разположение, след като тази промяна бъде обработена. Моля, опитайте отново по-късно."
"Failed to synchronize data to the Magento Business Intelligence service. ","Данните към услугата на Magento Business Intelligence не могат да се синхронизират. "
TestMessage,"Тестово съобщение"
"Apps and Games","Приложения и игри"
"Athletic/Sporting Goods","Атлетически/спортни стоки"
"Art and Design","Изкуство и дизайн"
"Advanced Reporting","Разширено отчитане"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Открийте нови идеи за управлението на ефективността на вашия бизнес, използвайки нашите динамични отчети за продукти, поръчки и клиентски отзиви свързани с информацията за клиентите Ви."
"Go to Advanced Reporting","Отиди на разширена отчетност"
Analytics,Анализи
API,"Приложен програмен интерфейс"
Configuration,Конфигурация
"Business Intelligence","Бизнес анализи"
"BI Essentials","BI Основи"
"Advanced Reporting Service","Услуга за Подробен анализ"
"Time of day to send data","Час за изпращане на данни"
Industry,Индустрия
"In order to personalize your Advanced Reporting experience, please select your industry.","За да персонализирате вашия опит в Подробната отчетност, моля изберете вашата индустрия."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Получете повече инфомация от Magento бизнес анализи</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Бизнес анализи ви продеставя лесен и ясен път към 
                    управление на данните ви.</br> Научете повече за <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Основи и BI Pro</a> линиите."
"Auto Parts","Авто части"
"Baby/Children’s Apparel, Gear and Toys","Бебешки/детски дрехи, приспособления и играчки"
"Beauty and Cosmetics","Красота и козметика"
"Books, Music and Magazines","Книги, музика и списания"
"Crafts and Stationery","Занаяти и канцеларски материали"
"Consumer Electronics","Потребителска електроника"
"Deal Site","Сделка сайт"
"Fashion Apparel and Accessories","Модни облекла и аксесоари"
"Food, Beverage and Grocery","Храни, напитки и хранителни стоки"
"Home Goods and Furniture","Стоки за дома и мебели"
"Home Improvement","Домашни потреби"
"Jewelry and Watches","Бижута и часовници"
"Mass Merchant","Търговец на едро"
"Office Supplies","Офис консумативи"
"Outdoor and Camping Gear","Приспособления за къмпинг и на открито"
"Pet Goods","Стоки за Домашни любимци"
"Pharma and Medical Devices","Фармацевтични и медицински изделия"
"Technology B2B","Технология B2B"
Other,Други
"The time value is using an unsupported format. Enter a supported format and try again.","Стойността за времето е в неподдържан формат. Моля въведете поддържан формат и опитайте отново."
"Please select an industry.","Моля изберете отрасъл."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Данните са невалидни. Въведете данните като текст или данни, които може да се преобразуват в текст и опитайте отново."
"The data is invalid. Enter the data as a string and try again.","Данните са невалидни. Въведете данните като текст и опитайте отново."
"The data is invalid. Use a valid cipher method and try again.","Данните са невалидни. Използвайте валиден криптираш метод и опитайте отново."
"Enter the encryption key and try again.","Въведете ключа за криптиране и опитайте отново."
"The ""%1"" source doesn't exist.","""%1"" източникът не съществува."
"Retry Synchronization","Повторете синхронизацията"
Back,Назад
Done,Готово
Retry,"Опитай отново"
"'Action Details - #' .","""Данни за действие - #""."
"%1 item(s) have been scheduled for update.""","%1 елемент(и) са планирани за обновяване."""
"Bulk Actions Log","Регистър на Пакетни действия"
"Bulk uuid %bulkUuid not exist","Не съществува идентификатор %bulkUuid"
"Topic %1","Тема %1"
"Something went wrong while processing the request.","Нещо се обърка докато обработвахме заявката."
"Error processing %key element of input data","Грешка при обработката на %key елемент от входящите данни"
"Sorry, something went wrong during product prices update. Please see log for details.","За съжаление нещо се обърка по време на актуализация на цени на продукти. Моля, вижте лог файла за подробности."
"%1 item(s) are currently being updated.","%1 елемент(и) се актуализират в момента."
"Task ""%1"": ","Задача ""%1"": "
"%1 item(s) have been scheduled for update.","%1 елемент(и) са планирани за обновяване."
"%1 item(s) have been successfully updated.","%1 елемент(и) са актуализирани успешно."
"%1 item(s) failed to update","%1 елемент(и) не успяха да се актуализират"
Details,Детайли
"View Details","Виж детайли"
Dismiss,Отхвърляне
"Pending, in queue...","В очакване, на опашката..."
"%1 items selected for mass update","%1 елементи избрани за масова актуализация"
", %1 successfully updated",", %1 успешно актуализирано"
", %1 failed to update",", %1 не успя да се актуализира"
"Something went wrong.","Възникна грешка."
"Action Log","Регистър на действията"
Report,Доклад
"Bulk Actions","Пакетни действия"
"Action Logs","Регистър на действията"
"Days Saved in Log","Дни, записани в регистрационния файл"
"Description of Operation","Описание на операцията"
Summary,Обобщение
"Start Time","Начален час"
"Items to Retry","Елементи за повторен опит"
"To retry, select the items and click “Retry”.","За повторен опит, изберете елементите и щракнете върху ""Опитай отново""."
"Items That Can’t Be Updated.","Елементи, които не могат да бъдат актуализирани."
ID,Идентификатор
Status,Статус
"Meta Information","Мета информация"
Error,Грешка
"Dismiss All Completed Tasks","Отхвърли всички завършени задачи"
"Action Details - #","Детайли за действието - #"
"Number of Records Affected","Брой на засегнатите записи"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Нещо се обърка при съставянето на списък на разрешените ресурси. Можете да намерите повече информация в регистрационния файл на изключения."
"The role wasn't found for the user. Verify the role and try again.","Ролята не е намерена за този потребител. Проверете ролята и опитайте отново."
"You created the order.","Вие създадохте поръчка."
"Order saving error: %1","Грешка при запазване на поръчката: %1"
"Please choose a payment method.","Моля, изберете метод на плащане."
"We can't process your order right now. Please try again later.","Не можем да обработим поръчката ви в момента. Моля, опитайте отново по-късно."
"An error occurred on the server. Please try to place the order again.","Възникна грешка в сървъра. Моля опитайте се да поставите поръчката отново."
"Credit Card: xxxx-%1","Кредитна карта: xxxx-%1"
"amount %1","сума %1"
failed.,неуспешен.
successful.,успешен.
"Authorize.Net Transaction ID %1.","Оторизация. № на транзакция %1."
authorize,оторизирай
"authorize and capture","оторизирай и запиши"
capture,заснемане
refund,възстановяване
void,анулирай
"Gateway error: %1","Терминал грешка: %1"
"Something went wrong in the payment gateway.","Нещо се обърка в портала на плащане."
"Invalid amount for capture.","Невалидна стойност за записване."
"Payment capturing error.","Грешка в заснемането на плащането."
"Invalid transaction ID.","ID на невалидна транзакция."
"Payment voiding error.","Грешка при анулиране на плащането."
"Invalid amount for refund.","Невалидна сума за възстановяване."
"Payment refunding error.","Грешка в плщането за възстановяване."
"The transaction was declined because the response hash validation failed.","Транзакцията е отказана поради неуспешна проверка на хеш валидация."
"This payment didn't work out because we can't find this order.","Това плащане не е успешно, защото не можем да намерим тази поръчка."
"There was a payment authorization error.","Възникна грешка при оторизиране на плащане."
"Please enter a transaction ID to authorize this payment.","Въведете ID на транзакция, за да се разреши това плащане."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Нещо се обърка: платената сума не съответства на размера на поръчката. Моля, поправете това и опитайте отново."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Тразнакция %1 е одобрена. Сума %2. Статусът на операцията е ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Транзакция %1 е била анулиран/отказана. Състоянието на транзакцията е ""%2"". Сума %3."
"Authorize Only","Само Authorize"
"Authorize and Capture","Оторизирай и запиши"
"Unable to get transaction details. Try again later.","Не може да получи данни за транзакцията. Опитайте отново по-късно."
"Electronic payments save the trees.","Електронните плащания спасяват дървета."
"Credit Card Type","Тип кредитна карта"
"Please Select","Моля изберете"
"Credit Card Number","Номер на кредитната карта"
"Expiration Date","Срок на валидност"
"Card Verification Number","Номер за проверка на картата"
"Fraud Detection ","Разкриване на измами "
"FDS Filter Action","FDS филтър действие"
"AVS Response","AVS отговор"
"Card Code Response","Отговор за код на картата"
"CAVV Response","CAVV отговор"
"Fraud Filters","Филтри за измами"
"Place Order","Направи поръчка"
"Sorry, but something went wrong. Please contact the seller.","За съжаление, но нещо се обърка. Моля свържете се с продавача."
"Authorize.net Direct Post","Authorize.net директен пост"
Enabled,Активиран
"Payment Action","Платежно действие"
Title,Заглавиe
"API Login ID","ID на регистрация на API"
"Transaction Key","Транзакция ключ"
"Merchant MD5","Търговец MD5"
"New Order Status","Статус нова поръчка"
"Test Mode","Тестов режим"
"Gateway URL","URL терминал"
"Transaction Details URL","URL на транзакционна информация"
"Accepted Currency","Приемани валути"
Debug,Дебъг
"Email Customer","Имейл на клиент"
"Merchant's Email","Имейл на търговец"
"Credit Card Types","Типове кредитни карти"
"Credit Card Verification","Проверка на кредитна карта"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Minimum Order Total","Минимална стойност на поръчка"
"Maximum Order Total","Максимална стойност на поръчка"
"Sort Order","Ред на сортиране"
"Cannot place order.","Не може да направите поръчка."
"'Gateway error: ' .","'Терминал грешка: %1: ' ."
"Unable to place order. Please try again later.","Не може да направите поръчка. Моля, опитайте отново по-късно."
"A server error stopped your order from being placed. Please try to place your order again.","Грешка в сървъра спря създаването на вашата поръчка. Моля опитайте се отново да създадете вашата поръчка."
"The transaction details are unavailable. Please try again later.","Детайли по сделката са недостъпни. Моля, опитайте отново по-късно."
"Authorize.Net Direct Post (Deprecated)","Authorise.Net Direct Post(остаряло!)"
"Signature Key","Подписващ ключ"
"There was an error while trying to process the request.","Възникна грешка при опит за обрботка на заявката."
"This transaction cannot be refunded with its current status.","Тази транзакция не може да възстанови с актуалната си стойност."
"The authenticity of the gateway response could not be verified.","Идентичноста на отговора на Изхода не може да бъде проверена."
"Basic Authorize.Net Settings","Основни настройки на Authorize.Net"
Environment,Среда
"Public Client Key","Публичен Клиентски ключ"
"Merchant MD5 (deprecated)","Търговски MD5 (остаряло)"
"Advanced Authorize.Net Settings","Подробни настройки на Authorize.Net"
"Enable Credit Card Verification Field","Активира полето за проверка на Кредитна карта"
"Invalid request to gateway.","Некоректно запитване към Изхода."
"Invalid gateway credentials.","Невалидни удостоверения за Изхода."
"Transaction has been declined. Please try again later.","Транзакцията е отказана. Моля, опитайте отново по-късно."
options,опции
"Select all","Избери всички"
"Deselect all","Откажи всички"
"%s of %s selected","%s от %s избрани"
"B2B Features","B2B функции"
"Invalid Form Key. Please refresh the page.","Невалиден ключ. Моля обновете страницата."
"You entered an invalid Secret Key. Please refresh the page.","Въвели сте невалиден таен ключ. Моля, презаредете страницата."
"Cache Storage Management","Управление на съхраняването на кеша"
"Flush Magento Cache","Изчисти кеша на Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Съхранение на кеша може да съдържа допълнителни данни. Сте сигурни, че искате флъш?"
"Flush Cache Storage","Промиване на Кеш Паметта"
Invalidated,Недействителни
Orders,Поръчки
Amounts,Суми
Bestsellers,Най-продавани
"Most Viewed Products","Най-преглеждани продукти"
"New Customers","Нови клиенти"
Customer,Клиент
Guest,Гост
Items,Артикули
Total,Общо
"Lifetime Sales","Всички продажби"
"Average Order","Средна стойност на поръчка"
Average,Среден
Views,Преглеждания
Revenue,Приходи
Tax,Данък
Shipping,Доставка
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медия (.avi, .flv, .swf)"
"All Files","Всички файлове"
"Reset to Default","Върни настройките по подразбиране"
"All Store Views","Изгледи на всички магазини"
"What is this?","Какво е това?"
"Save Account",Запиши
"My Account","Моят профил"
"Account Information","Информация за профила"
"User Name","Потребителско име"
"First Name",Име
"Last Name",Фамилия
Email,Имейл
"User Email","Потребителски имейл"
"New Password","Нова парола"
"Password Confirmation","Потвърждение на паролата"
"Interface Locale","Локализация на интерфейса"
"Current User Identity Verification","Верификация на идентичносттта на потребителя"
"Your Password","Вашата парола"
"Save Cache Settings","Запази настройките на кеша"
"Catalog Rewrites","Пренаписвания на каталога"
Refresh,Обновяване
"Images Cache","Кеш на изображенията"
Clear,Изчисти
"Search Index","Индекс на търсене"
Rebuild,Реконструирай
"Inventory Stock Status","Статус на наличностите на склад"
"Rebuild Catalog Index","Реконструирай индекса на каталога"
"Rebuild Flat Catalog Category","Обнови Плоския Каталог на Категориите"
"Rebuild Flat Catalog Product","Обнови Плоския Каталог на Продуктите"
"Cache Control","Контрол на кеша"
"All Cache","Всичкия кеш"
"No change","Няма промяна"
Disable,Деактивиране
Enable,Разреши
"Add Design Change","Добави промяна на дизайна"
Delete,Изтрий
Save,Запиши
"Edit Design Change","Редактирай промяната на дизайна"
"New Store Design Change","Нова промяна в дизайна на магазина"
